Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
Florida Panthers,27.3,24,17,4,3,37,0.771,92,65,1,2,1.11,0.03,3.83,2.71,14,72,19.44,13,72,81.94,2,3,8.3,9.8,881,10.4,746,0.913,0
Washington Capitals,28.7,25,15,4,6,36,0.720,88,61,0,1,1.04,0.00,3.52,2.44,13,73,17.81,11,63,82.54,4,3,6.3,7.6,772,11.4,697,0.912,4
Toronto Maple Leafs,28.0,26,17,7,2,36,0.692,80,61,0,1,0.65,-0.04,3.08,2.35,19,74,25.68,13,74,82.43,1,0,7.7,7.3,896,8.9,812,0.925,4
Minnesota Wild,29.1,24,17,6,1,35,0.729,89,70,3,1,0.78,-0.10,3.71,2.92,11,79,13.92,16,83,80.72,1,0,10.6,9.7,820,10.9,742,0.906,0
Calgary Flames,28.5,25,15,5,5,35,0.700,79,51,2,0,1.11,-0.09,3.16,2.04,17,68,25.00,10,77,87.01,2,1,9.2,7.7,851,9.3,741,0.931,7
New York Rangers,26.3,23,16,4,3,35,0.761,67,57,1,0,0.37,-0.11,2.91,2.48,15,68,22.06,12,68,82.35,1,1,9.3,9.1,652,10.3,734,0.922,2
Tampa Bay Lightning,29.1,24,15,5,4,34,0.708,79,63,2,2,0.72,0.06,3.29,2.63,14,70,20.00,12,73,83.56,2,0,10.3,9.4,713,11.1,727,0.913,2
Carolina Hurricanes,27.9,23,16,6,1,33,0.717,75,52,0,0,0.80,-0.20,3.26,2.26,14,74,18.92,11,87,87.36,1,2,9.6,8.1,770,9.7,634,0.918,1
Edmonton Oilers,28.3,23,16,7,0,32,0.696,84,70,2,0,0.48,-0.22,3.65,3.04,24,70,34.29,11,74,85.14,4,0,8.6,7.0,730,11.5,788,0.911,0
Anaheim Ducks,27.6,25,13,8,4,30,0.600,83,72,1,2,0.48,0.08,3.32,2.88,20,73,27.40,10,67,85.07,2,3,9.2,11.0,799,10.4,827,0.913,2
Detroit Red Wings,26.9,25,13,9,3,29,0.580,70,78,1,0,-0.40,-0.12,2.80,3.12,10,67,14.93,18,73,75.34,0,2,8.2,8.0,723,9.7,831,0.906,0
St. Louis Blues,28.4,24,12,8,4,28,0.583,78,68,2,2,0.45,0.03,3.25,2.83,20,66,30.30,13,67,80.60,3,3,8.7,8.0,796,9.8,762,0.911,2
Winnipeg Jets,27.8,24,12,8,4,28,0.583,73,66,1,2,0.30,0.05,3.04,2.75,15,74,20.27,22,68,67.65,2,2,8.2,10.1,798,9.1,758,0.913,0
Vegas Golden Knights,28.2,24,14,10,0,28,0.583,80,73,1,0,0.29,-0.04,3.33,3.04,8,56,14.29,11,68,83.82,6,2,8.1,7.2,787,10.2,787,0.907,0
Nashville Predators,27.3,24,13,10,1,27,0.563,67,68,1,0,-0.06,-0.06,2.79,2.83,16,70,22.86,17,78,78.21,0,1,11.0,10.6,720,9.3,731,0.907,1
San Jose Sharks,28.5,25,13,11,1,27,0.540,66,67,0,1,-0.09,-0.01,2.64,2.68,11,65,16.92,8,63,87.30,2,3,7.8,7.6,721,9.2,748,0.910,2
Pittsburgh Penguins,28.6,24,11,8,5,27,0.563,68,63,1,4,0.08,-0.01,2.83,2.63,11,72,15.28,5,61,91.80,0,2,6.6,8.0,857,7.9,727,0.913,3
Dallas Stars,29.9,21,12,7,2,26,0.619,59,57,1,1,0.08,-0.01,2.81,2.71,15,57,26.32,13,67,80.60,2,0,8.0,6.7,625,9.4,643,0.911,0
Columbus Blue Jackets,26.1,23,13,10,0,26,0.565,74,75,2,0,-0.04,-0.09,3.22,3.26,12,60,20.00,10,63,84.13,2,1,7.3,7.2,680,10.9,791,0.905,1
Colorado Avalanche,27.7,21,12,7,2,26,0.619,84,71,1,0,0.64,-0.03,4.00,3.38,18,82,21.95,14,59,76.27,5,1,9.6,12.8,691,12.2,634,0.888,0
Boston Bruins,28.0,21,12,8,1,25,0.595,60,56,1,0,0.19,-0.05,2.86,2.67,16,63,25.40,9,59,84.75,1,2,8.0,9.4,771,7.8,605,0.907,1
Los Angeles Kings,28.1,23,10,9,4,24,0.522,63,62,1,1,0.08,0.03,2.74,2.70,16,78,20.51,14,57,75.44,1,5,7.0,9.1,814,7.7,696,0.911,1
New Jersey Devils,26.1,22,9,9,4,22,0.500,64,73,1,3,-0.32,0.18,2.91,3.32,8,61,13.11,15,76,80.26,2,3,9.1,8.4,713,9.0,705,0.896,1
Chicago Blackhawks,28.0,24,9,13,2,20,0.417,51,75,3,0,-0.91,-0.03,2.13,3.13,13,73,17.81,11,68,83.82,1,2,7.6,8.3,670,7.6,752,0.900,1
Philadelphia Flyers,28.6,22,8,10,4,20,0.455,51,70,0,2,-0.64,0.32,2.32,3.18,9,67,13.43,12,69,82.61,3,2,9.1,10.0,691,7.4,752,0.907,1
Seattle Kraken,28.6,24,9,13,2,20,0.417,72,83,0,1,-0.49,0.01,3.00,3.46,12,68,17.65,11,56,80.36,2,1,10.3,9.9,685,10.5,669,0.876,0
Buffalo Sabres,27.8,24,8,13,3,19,0.396,69,90,1,0,-0.84,-0.01,2.88,3.75,13,63,20.63,13,60,78.33,2,3,7.0,7.3,704,9.8,811,0.889,0
Vancouver Canucks,27.1,25,8,15,2,18,0.360,59,79,1,1,-0.88,-0.08,2.36,3.16,15,86,17.44,29,82,64.63,1,2,9.8,9.8,839,7.0,801,0.901,0
New York Islanders,29.6,20,5,10,5,15,0.375,38,59,0,2,-1.07,0.08,1.90,2.95,8,56,14.29,10,58,82.76,1,3,11.3,9.7,567,6.7,645,0.909,3
Montreal Canadiens,28.1,26,6,17,3,15,0.288,59,93,0,0,-1.28,0.02,2.27,3.58,11,81,13.58,23,80,71.25,1,2,9.7,8.8,766,7.7,876,0.894,2
Ottawa Senators,26.0,22,6,15,1,13,0.295,57,86,0,0,-1.01,0.31,2.59,3.91,13,74,17.57,19,70,72.86,0,0,10.2,10.8,631,9.0,767,0.888,0
Arizona Coyotes,27.9,24,5,17,2,12,0.250,43,87,0,2,-1.76,0.16,1.79,3.63,7,58,12.07,22,78,71.79,0,2,12.7,10.4,614,7.0,808,0.892,1
League Average,27.9,24,12,9,3,26,0.556,69,69,,,,,,,14,69,19.75,14,69,80.25,2,2,8.4,8.4,742,9.4,742,0.906,1
